publication_number,filing_date,citation_publication_number
CN-107171794-B,20170627,CN-105635169-A
WO-2019036073-A1,20180427,US-2016132704-A1
US-9667427-B2,20161014,US-2016284033-A1
CN-107066432-A,20161024,US-2016162998-A1
CN-107103502-A,20170307,CN-106372889-A
WO-2019018776-A1,20180720,WO-2017098519-A1
WO-2018161715-A1,20180104,CN-106296359-A
CN-107507057-A,20170803,CN-106096882-A
CN-107507057-A,20170803,CN-106127564-A
CN-107355164-A,20170814,WO-2017041145-A1
CN-109959974-A,20190119,CN-106127564-A
CN-107153955-A,20170526,CN-106570692-A
WO-2019191383-A1,20190328,WO-2018017102-A1
WO-2019017936-A1,20170719,PH-22016000121-U1
WO-2019007504-A1,20170705,WO-2016151316-A1
US-9996783-B2,20170413,US-2016275390-A1
US-9996783-B2,20170413,US-2016292554-A1
US-9996783-B2,20170413,US-2016371576-A1
US-9996783-B2,20170413,US-9626610-B2
US-9996783-B2,20170413,US-9646237-B2
US-9996783-B2,20170413,US-9710743-B2
WO-2019135614-A1,20190103,KR-101624959-B1
US-9771120-B2,20160115,US-2016203538-A1
CN-106651504-A,20161024,US-2016275482-A1
DE-102016118611-A1,20160930,US-2016284033-A1
CN-106790431-A,20161205,CN-105976231-A
WO-2020029630-A1,20190515,CN-105976231-A
US-9842330-B1,20160923,WO-2017072589-A2
US-9953460-B2,20160614,US-2016210602-A1
US-9994434-B2,20160304,US-2016210602-A1
US-9531998-B1,20160629,US-2016210602-A1
US-9710743-B2,20160308,US-2016275390-A1
WO-2019028758-A1,20170810,CN-105976231-A
WO-2019114434-A1,20181029,CN-106548302-A
US-9892456-B1,20170719,US-2017039579-A1
WO-2019124176-A1,20181212,WO-2016174878-A1
WO-2018076761-A1,20170630,CN-105976231-A
WO-2019011303-A1,20180712,US-2017098231-A1
WO-2019107678-A1,20180514,KR-20170086354-A
WO-2020014224-A1,20190709,US-9940840-B1
WO-2019089586-A1,20181030,WO-2017066002-A1
WO-2020000805-A1,20181023,CN-105976231-A
WO-2019008396-A1,20180709,US-2017109805-A1
WO-2019162563-A1,20190212,US-2018146061-A1
US-10498472-B2,20181023,US-9998245-B2
US-10049558-B2,20170216,US-2016210602-A1
CN-106874440-A,20170207,CN-105976231-A
CN-107274175-A,20170613,WO-2016166552-A1
WO-2020028513-A1,20190731,WO-2017070469-A1
WO-2018231659-A1,20180608,EP-3340160-A1
WO-2018129201-A1,20180104,US-2016210602-A1
WO-2019046470-A1,20180829,WO-2017072647-A1
CN-106451438-A,20161116,CN-105552902-A
CN-107481141-A,20170725,CN-106296359-A
US-10580062-B1,20160628,US-2016335613-A1
US-10580062-B1,20160628,US-9563890-B2
US-10580062-B1,20160628,US-9576285-B2
US-10580062-B1,20160628,US-2017083901-A1
US-10328769-B2,20180727,US-2017124547-A1
EP-3531668-A4,20180319,CN-106230851-A
CN-109859456-A,20181206,US-9940840-B1
CN-106899696-A,20170401,CN-106372889-A
CN-107483322-A,20170816,US-2016234193-A1
CN-108647903-A,20180521,CN-106230851-A
CN-106779982-A,20170214,CN-105812374-A
CN-106951307-A,20170306,CN-105976231-A
CN-107292454-A,20170727,US-2016357714-A1
CN-107395557-A,20170328,CN-106230851-A
CN-107870710-A,20170926,EP-3062280-A1
CN-107909741-A,20171113,CN-106297010-A
CN-107909741-A,20171113,US-2017103629-A1
WO-2018204456-A1,20180502,WO-2017066002-A1
WO-2019046475-A1,20180829,US-2017103468-A1
WO-2019001913-A1,20180606,US-2017108880-A1
WO-2018232913-A1,20170815,CN-106128152-A
WO-2019161555-A1,20180224,CN-105976231-A
WO-2019019617-A1,20180212,CN-106096882-A
KR-101995352-B1,20171226,KR-20160115897-A
CN-106778329-A,20161128,CN-105976231-A
KR-20200006317-A,20180710,KR-20170099043-A
US-10063438-B2,20170510,US-2016300201-A1
JP-2018195255-A,20170522,US-2016253843-A1
WO-2017166942-A1,20170217,CN-105809520-A
WO-2019129081-A1,20181226,CN-106352884-A
WO-2019072269-A3,20181107,WO-2018115567-A1
WO-2020028917-A1,20190805,US-2016284033-A1
US-10369998-B2,20170525,US-9940840-B1
US-10142835-B2,20160421,US-2017357972-A1
KR-101888922-B1,20171218,KR-20170082294-A
US-10248783-B2,20161003,WO-2017066002-A1
US-10051018-B2,20161229,US-9485301-B2
WO-2018112043-A1,20171213,US-2016284033-A1
WO-2019237276-A1,20180613,CN-105976231-A
WO-2018138655-A1,20180124,US-2017076272-A1
US-9953308-B2,20170529,US-2016275483-A1
US-9953308-B2,20170529,US-2016275482-A1
US-9953308-B2,20170529,US-2017076272-A1
US-9953308-B2,20170529,US-9811813-B2
WO-2019184540-A1,20190102,CN-106204240-A
CN-107134053-A,20170419,CN-106096882-A
CN-107134053-A,20170419,CN-106447428-A
WO-2017166534-A1,20160712,CN-105913293-A
WO-2019019616-A1,20180212,CN-106408374-A
US-9892417-B2,20170515,US-2017171047-A1
US-9781170-B2,20160816,US-9485301-B2
WO-2019177230-A1,20181130,KR-20170086873-A
US-9952712-B2,20160330,US-2016328767-A1
WO-2019012115-A1,20180713,US-2016284143-A1
WO-2019098649-A1,20181113,KR-101729646-B1
US-9824349-B2,20170224,US-9563890-B2
US-9830589-B2,20170508,US-2017076272-A1
US-D865643-S,20180125,US-2016247212-A1
WO-2019190625-A1,20190128,US-2017270428-A1
EP-3520867-A1,20190205,JP-6215441-B1
CN-106296299-A,20160817,CN-105550831-A
WO-2019133654-A1,20181227,US-2017003666-A1
WO-2019204093-A1,20190410,US-2017103468-A1
WO-2018126057-A1,20171228,WO-2016191209-A1
WO-2019221575-A1,20190514,KR-20170092037-A
US-10439837-B2,20170919,US-2016205159-A1
US-10439837-B2,20170919,US-9998245-B2
US-10455366-B1,20190227,US-9858603-B2
US-10457511-B2,20171120,US-2016292697-A1
US-10223679-B2,20170622,US-2016217258-A1
US-10552816-B2,20160108,US-2017039542-A1
WO-2017202386-A1,20170527,CN-106096927-A
WO-2020024607-A1,20190403,WO-2018115567-A1
US-9646237-B2,20160601,US-2016275390-A1
US-9646237-B2,20160601,US-2016292554-A1
US-9646237-B2,20160601,US-2016371576-A1
CN-106682075-A,20161121,CN-105956028-A
CN-107480987-A,20170725,CN-106296359-A
CN-107742382-A,20171019,CN-106127564-A
WO-2017032541-A1,20160728,WO-2016151316-A1
US-D836541-S,20160623,US-2017011407-A1
WO-2019133668-A1,20181227,US-2016132891-A1
WO-2019115580-A1,20181212,WO-2017066431-A1
WO-2017196289-A3,20170621,WO-2017066002-A1
CN-106886722-A,20170323,CN-105976231-A
CN-107967603-A,20171220,CN-106127564-A
CN-106600498-A,20161122,CN-105701549-A
CN-110072046-A,20180824,CN-107886387-A
EP-3506456-A1,20181228,WO-2017086174-A1
EP-3506456-A1,20181228,EP-3379467-A1
CN-106778882-B,20161223,CN-105976231-A
WO-2019032538-A1,20180807,WO-2017066002-A1
WO-2019237208-A1,20190614,US-9619842-B2
WO-2019135929-A1,20181220,US-9727867-B2
EP-3410406-A1,20170602,US-2016260073-A1
CN-107240001-A,20170606,CN-106296359-A
CN-107758187-A,20171017,CN-106096882-A
US-9998978-B2,20160415,US-9530137-B2
US-9787842-B1,20170106,WO-2016144784-A1
WO-2019093292-A1,20181106,WO-2017056433-A1
WO-2018208327-A1,20170913,US-2017103468-A1
WO-2019164539-A1,20180614,WO-2017057811-A1
CN-108399693-A,20180211,CN-106408369-A
CN-106683480-A,20170228,CN-106128152-A
WO-2018225995-A1,20180603,KR-101729678-B1
US-9773501-B1,20170106,WO-2016144784-A1
WO-2019084571-A1,20181105,WO-2017070469-A1
CN-106850233-B,20170309,CN-105635169-A
CN-106850233-A,20170309,CN-105635169-A
CN-107038559-A,20161221,CN-106134163-A
US-10296904-B2,20161117,US-9530137-B2
CN-106408285-A,20160930,CN-105913277-A
CN-109460816-A,20181116,WO-2017093953-A1
US-10521780-B1,20161215,CN-105976231-A
US-10410021-B1,20171208,US-2016188915-A1
US-10410021-B1,20171208,US-2016371513-A1
US-10410021-B1,20171208,US-9595033-B2
US-10410021-B1,20171208,JP-2017062844-A
US-10410021-B1,20171208,US-9858603-B2
CN-106709704-A,20161123,CN-105976231-A
CN-106533696-B,20161118,CN-105976231-A
CN-106601277-B,20161102,CN-105930691-A
CN-107464360-A,20170622,CN-106740680-A
CN-107705396-A,20170824,CN-106740680-A
US-10042919-B2,20161220,US-2016210602-A1
WO-2018091538-A1,20171115,US-2016203466-A1
US-9576285-B2,20160531,US-2016275483-A1
WO-2019209894-A1,20190423,US-2017076272-A1
WO-2019164917-A1,20190220,US-2016217515-A1
US-10526821-B2,20171101,US-9845071-B1
CN-108021865-A,20171103,CN-106204240-A
CN-107067286-A,20170428,CN-105893507-A
EP-3293654-A1,20160908,US-2016132891-A1
US-9609037-B2,20160208,US-2016306874-A1
US-9965801-B1,20170731,US-2016210602-A1
WO-2019086677-A1,20181105,WO-2017066002-A1
WO-2019035368-A1,20180802,WO-2017038739-A1
WO-2020001117-A1,20190403,WO-2018115567-A1
CN-106127548-A,20160617,CN-106097590-A
CN-108076965-A,20171201,WO-2017105067-A1
CN-108830545-A,20180428,CN-107679045-A
WO-2019064658-A1,20180412,US-2016284033-A1
WO-2019237615-A1,20181018,CN-106230851-A
WO-2018107576-A1,20170215,CN-106600424-A
US-9836678-B2,20170105,US-9626610-B2
WO-2019241554-A1,20190613,WO-2016151316-A1
WO-2019085589-A1,20180817,CN-106204240-A
US-9922368-B2,20160426,US-9547856-B2
CN-107622606-A,20170915,CN-106570692-A
DE-102017117598-A1,20170803,US-2016284033-A1
DE-102017117598-A1,20170803,WO-2017066431-A1
WO-2020027092-A1,20190730,WO-2017086174-A1
WO-2018118353-A1,20171129,US-2016321649-A1
WO-2018049504-A1,20170912,CN-106355477-A
WO-2019181119-A1,20181220,WO-2017145511-A1
CN-107248074-A,20170329,CN-105976231-A
EP-3608149-A1,20190605,DE-102016216200-A1
IT-201700025528-A1,20170308,US-2016189137-A1
CN-106650494-A,20161216,CN-106230851-A
CN-107948596-A,20171127,CN-106408428-A
CN-109726466-A,20181226,US-2016155069-A1
CN-108881259-A,20180630,CN-106296359-A
DE-102017211300-B3,20170704,US-9928507-B2
EP-3454277-A1,20170907,US-2017032350-A1
CN-107272896-A,20170613,EP-3062280-A1
CN-107171794-A,20170627,CN-105635169-A
CN-108592915-A,20180419,CN-106204240-A
CN-106617995-A,20170103,CN-105661812-A
CN-107918666-A,20171124,WO-2017098519-A1
US-10496699-B2,20170320,US-2017103405-A1
CN-107682308-A,20170816,CN-106296359-A
CN-107316023-A,20170627,CN-106469369-A
CN-107294706-A,20170609,CN-106067849-A
WO-2019028366-A1,20180803,US-2017039564-A1
US-2018063564-A1,20160826,US-2016189137-A1
DE-202019000280-U1,20190122,KR-20180009025-A
CN-107609703-A,20170915,CN-105956028-A
CN-107222303-A,20170511,CN-106230851-A
CN-108230056-A,20161209,CN-105550832-A
EP-3435281-A1,20180406,US-2016210602-A1
US-10594489-B2,20190710,CN-106230851-B
CN-109151599-A,20180830,KR-20170103442-A
CN-107133777-A,20170425,CN-106067849-A
CN-107480735-A,20170724,CN-106096882-A
CN-108307430-A,20160927,US-2016248795-A1
WO-2019056879-A1,20180808,US-2017124547-A1
CN-107341696-A,20170714,CN-106560859-A
CN-107231416-A,20170525,CN-106097590-A
CN-107882436-B,20171019,CN-106740680-A
CN-107545341-A,20160628,CN-105550831-A
US-10586054-B2,20181226,US-9530137-B2
CN-107277556-A,20170606,CN-106228436-A
CN-107665357-A,20170907,CN-106096882-A
CN-106406324-A,20161228,CN-106204197-A
CN-106406324-A,20161228,CN-106204240-A
EP-3243181-A4,20160105,US-2017180961-A1
CN-107657448-A,20170816,CN-106134163-A
CN-106875473-A,20170216,CN-105913277-A
CN-106559211-B,20161122,CN-105976231-A
CN-107169780-A,20170310,US-9619794-B2
CN-109857038-A,20190318,WO-2017056100-A1
CN-108492451-A,20180312,CN-106710071-A
DE-102017223522-A1,20171221,US-2017103468-A1
DE-102017223522-A1,20171221,WO-2017098519-A1
US-2017024720-A1,20160721,US-9704151-B2
US-10493349-B2,20170316,US-9819561-B2
US-10412060-B2,20180529,US-9530137-B2
US-10310712-B2,20171211,US-2016217258-A1
US-10366381-B2,20161021,US-9811813-B2
US-10402814-B2,20160405,US-9530137-B2
CN-107481110-A,20170814,CN-106251186-A
CN-107912796-A,20161011,CN-105761134-A
CN-107912796-A,20161011,CN-105812374-A
CN-109214197-A,20180814,CN-105976231-A
CN-107355164-B,20170814,WO-2017041145-A1
CN-107451908-A,20170821,CN-106355464-A
CN-108399786-A,20180316,CN-106128152-A
CN-108399786-A,20180316,CN-107730962-A
US-D866375-S,20170802,WO-2018027292-A1
WO-2018213672-A1,20180518,US-2017103468-A1
KR-20190068021-A,20171208,KR-20170111875-A
KR-102007570-B1,20171110,KR-101706889-B1
KR-102022902-B1,20171128,KR-101744260-B1
CN-107527275-A,20170905,CN-106960370-A
CN-107274167-A,20170512,CN-106355464-A
CN-106682984-B,20161126,CN-105976231-A
CN-106991834-A,20170518,CN-105844762-A
CN-106570089-A,20161020,CN-106022880-A
CN-106394732-A,20161110,CN-106097590-A
FR-3082977-A1,20180621,WO-2017075498-A1
CN-106058884-A,20160706,CN-105552902-A
CN-106779935-A,20161207,US-2016253843-A1
CN-106971464-A,20170410,CN-105809520-A
CN-107750005-A,20170918,CN-106228436-A
CN-108776917-A,20180530,CN-105913307-A
CN-108197230-A,20171229,CN-107408260-A
CN-109050467-A,20170828,US-2016132053-A1
CN-107317672-A,20170510,CN-106230851-A
CN-107704907-A,20171020,KR-101675128-B1
CN-107705144-A,20170901,KR-20160128974-A
CN-107424303-A,20170531,CN-106469369-A
WO-2019051433-A1,20180910,WO-2017038739-A1
WO-2019246567-A1,20190621,WO-2017070469-A1
US-9798892-B2,20161028,US-2016285954-A1
US-9842483-B2,20161005,US-2016210602-A1
US-10148665-B2,20160510,US-9886566-B2
WO-2019120543-A1,20171221,US-2017178245-A1
WO-2018078115-A1,20171027,US-2016284033-A1
WO-2018189659-A1,20180409,US-2016189137-A1
WO-2018189659-A1,20180409,US-2016275483-A1
KR-102002095-B1,20190219,KR-20170114908-A
US-10535009-B2,20161107,US-2016155069-A1
WO-2019009914-A1,20170707,WO-2017066002-A1
WO-2020001039-A1,20190215,CN-107977834-A
WO-2019090555-A1,20171109,CN-105956028-A
WO-2019054638-A1,20180809,KR-20170026264-A
WO-2019059598-A1,20180917,US-2017103468-A1
WO-2019197924-A1,20190322,CA-2986115-A1
WO-2018142248-A1,20180125,US-2016275483-A1
WO-2018142248-A1,20180125,US-2016275482-A1
CN-106779669-A,20161227,CN-106056439-A
CN-107025155-A,20170304,US-2016315838-A1
CN-106341493-A,20161101,CN-105635169-A
CN-107133837-A,20170322,CN-106408428-A
CN-106650494-B,20161216,CN-106230851-A
CN-107527194-A,20170721,CN-106297010-A
CN-106878146-A,20161229,CN-106203921-A
CN-106980500-A,20170217,EP-3062280-A1
US-10178358-B2,20160226,US-2016210602-A1
US-10358326-B2,20160304,US-2016210602-A1
KR-20190067452-A,20171207,KR-20170133210-A
CN-106301782-A,20160726,CN-105635169-A
CN-107689116-A,20170728,CN-106097590-A
DE-102018002083-A1,20180315,US-2016292697-A1
CN-106503992-A,20161018,CN-105976231-A
CN-107341654-A,20170712,CN-106127564-A
CN-107426234-A,20170808,US-2017103468-A1
WO-2019144046-A1,20190118,US-2017103468-A1
WO-2018079456-A1,20171023,WO-2016174878-A1
WO-2019157114-A1,20190207,US-2017039572-A1
WO-2019124613-A1,20171226,KR-101718747-B1
WO-2019160597-A1,20181205,US-2017039564-A1
WO-2020033590-A1,20190807,US-2018096326-A1
WO-2019236243-A1,20190510,WO-2016191209-A1
WO-2019236243-A1,20190510,US-2018158124-A1
CN-107301536-A,20170612,CN-105976231-A
CN-107590276-A,20170928,CN-106352884-A
CN-107846278-A,20171030,CN-105976231-A
CN-107424303-B,20170531,CN-106469369-A
CN-106506146-A,20161026,CN-105976231-A
EP-3493346-A1,20171201,US-2017103468-A1
GB-2576461-A,20180502,US-2017103468-A1
CN-107392500-A,20170811,US-2016253084-A1
FR-3078325-A1,20180227,WO-2017041145-A1
CN-107016543-A,20170329,CN-106296359-A
CN-107711297-A,20171115,WO-2017105067-A1
CN-106525433-A,20161228,US-2016155070-A1
CN-107944859-A,20171115,CN-106096882-A
CN-107103373-A,20170413,CN-105809520-A
CN-107993321-A,20171214,CN-106740680-A
CN-106682983-A,20161229,CN-105976231-A
GB-2575191-A,20180312,US-2017103468-A1
IT-201800002784-A1,20180220,WO-2017041145-A1
US-9900317-B2,20160225,US-2017213210-A1
WO-2019110739-A1,20181206,US-2016284033-A1
WO-2019060567-A1,20180920,US-2016217454-A1
CN-108615354-A,20180509,US-9940840-B1
CN-107644482-A,20170928,CN-106740680-A
CN-107392610-A,20170306,CN-105976231-A
CN-107492164-A,20170707,CN-106127564-A
EP-3511889-A1,20190116,WO-2017072589-A2
CN-106778882-A,20161223,CN-105976231-A
CN-106874440-B,20170207,CN-105976231-A
WO-2020006172-A1,20190627,WO-2017098519-A1
WO-2018042546-A1,20160831,JP-5965557-B1
WO-2018171539-A1,20180319,CN-106230851-A
WO-2020029628-A1,20190514,CN-105976231-A
US-9954907-B2,20161230,US-9485301-B2
CN-109002815-A,20180826,CN-107111832-A
CN-107645675-A,20170905,US-2017180696-A1
EP-3460940-A1,20180713,US-2016284033-A1
WO-2018208190-A1,20180511,US-2016132704-A1
WO-2020005968-A1,20190625,WO-2017093953-A1
WO-2020032567-A1,20190807,KR-20170026264-A
WO-2020008938-A1,20190624,JP-2018022284-A
US-9754256-B2,20160510,US-2017039571-A1
US-9875502-B2,20160304,US-2016210602-A1
WO-2018160228-A1,20171012,US-2016284033-A1
WO-2018160228-A1,20171012,US-2017103468-A1
WO-2018233669-A1,20180621,CN-106204197-A
WO-2020025817-A1,20190802,WO-2018115567-A1
US-10175492-B2,20171101,US-2016253843-A1
US-10474166-B2,20180320,US-9940840-B1
US-10276038-B2,20170202,US-2016292737-A1
CN-108197235-A,20171229,CN-107408260-A
CN-108389330-A,20170203,CN-106096882-A
KR-20190058038-A,20171121,KR-20170121557-A
US-10057882-B1,20160426,US-2016314517-A1
US-10057882-B1,20160426,US-9727867-B2
RU-2702966-C1,20181116,RU-2016113104-A
CN-107239987-A,20170424,US-2016314520-A1
CN-108674364-A,20180530,CN-106097590-A
CN-107240002-A,20170606,CN-106296359-A
EP-3617969-A1,20180903,WO-2017098519-A1
EP-3605945-A1,20180803,WO-2018115567-A1
CN-109451149-A,20181017,US-2017068551-A1
CN-107491880-A,20170823,CN-106096882-A
CN-107491880-A,20170823,CN-106204240-A
CN-107689989-A,20170821,CN-106779731-A
CN-107679959-A,20171012,CN-106096882-A
CN-108462582-A,20180209,CN-106296359-A
CN-107194910-A,20170402,US-2016315837-A1
CN-107395581-A,20170711,US-2016132704-A1
CN-108494801-B,20180518,CN-106296359-A
CN-106295405-A,20160725,CN-105635169-A
GB-2571481-A,20171213,US-2016284033-A1
CN-107632853-A,20170807,CN-106127476-A
CN-106204943-A,20160831,CN-105809520-A
CN-106682984-A,20161126,CN-105976231-A
US-10554394-B1,20171001,US-2017103468-A1
CN-106952067-A,20170317,CN-106096882-A
EP-3483825-A1,20181109,KR-20170086374-A
CN-107180556-A,20170623,CN-106128152-A
CN-109410483-A,20181008,CN-106881721-A
CN-107515635-A,20170906,US-2017180696-A1
JP-2018206355-A,20180119,US-2016260073-A1
CN-106652257-A,20161129,CN-105868977-A
CN-107689993-A,20170829,CN-106352884-A
CN-107491952-A,20170802,CN-106469369-A
CN-107993089-A,20171122,US-2016267572-A1
CN-107463260-A,20170809,CN-105913277-A
JP-2018081464-A,20161115,US-2016284033-A1
CN-107995003-A,20161026,CN-105976231-A
CN-107711292-A,20171030,WO-2017105067-A1
CN-107395403-A,20170707,US-2017103468-A1
US-10440101-B2,20160222,US-2017046680-A1
US-10103936-B2,20160621,US-2016300201-A1
WO-2019239826-A1,20190522,JP-2017156915-A
WO-2018131214-A1,20170921,WO-2016194275-A1
CN-107481023-A,20170824,CN-106846087-A
CN-109309650-A,20170727,CN-106230851-A
US-10373159-B2,20161207,US-2018285879-A1
KR-20200006302-A,20180710,KR-20170099043-A
CN-107392733-A,20170803,WO-2016153238-A1
CN-108833367-A,20180525,CN-107645530-A
CN-109145643-A,20180823,US-2017177725-A1
US-10048912-B2,20161209,US-2016380852-A1
CN-106815764-A,20170118,CN-105976231-A
CN-107274259-A,20170602,CN-106372834-A
CN-107079059-A,20161221,CN-105976231-A
JP-6463535-B1,20180427,JP-6215441-B1
CN-107908978-A,20171017,CN-106230851-A
DE-102018205578-A1,20180412,US-9940840-B1
CN-107025708-A,20170329,CN-106097590-A
CN-107882436-A,20171019,CN-106740680-A
CN-107403492-A,20170724,CN-106740680-A
CN-106372652-A,20160828,US-2016189252-A1
US-10373236-B2,20181113,WO-2016168699-A1
US-10373236-B2,20181113,EP-3284051-A1
CN-108234127-A,20161222,CN-106230851-A
CN-107146103-A,20170502,CN-106372834-A
CN-107506921-A,20170814,CN-106548302-A
CN-107564114-A,20170816,CN-105574801-A
CN-107491825-A,20160613,CN-105574801-A
CN-107248120-A,20170811,US-2016253084-A1
WO-2019173550-A1,20190307,WO-2017116810-A1
WO-2019034041-A1,20180814,CN-106204197-A
WO-2020014798-A1,20180718,CN-105913277-A
WO-2018212756-A1,20170515,US-2017103468-A1
WO-2020032376-A1,20190613,US-2016189137-A1
WO-2020029629-A1,20190514,CN-105976231-A
WO-2019172061-A1,20190228,WO-2017145511-A1
CN-107301749-A,20170712,CN-106127564-A
CN-107291007-A,20170619,CN-106710071-A
EP-3460942-A1,20180910,US-2016284033-A1
WO-2019140193-A1,20190111,US-2017091579-A1
US-9946532-B2,20160615,US-2017091771-A1
WO-2019208152-A1,20190404,WO-2017115453-A1
CN-106656600-A,20161222,CN-106204217-A
CN-107169838-A,20170523,WO-2016113703-A1
CN-106815938-A,20161216,CN-106097590-A
US-2017255938-A1,20160307,US-2016321649-A1
US-2017270763-A1,20170202,US-2016292737-A1
CN-107437205-A,20160525,CN-107346462-A
CN-109242601-A,20180808,CN-107230123-A
CN-107123018-A,20170322,CN-106204187-A
CN-109345182-A,20181112,US-2017140351-A1
DE-102016118612-A1,20160930,US-2016284033-A1
US-10279762-B2,20180130,US-9845071-B1
JP-6414916-B1,20170712,JP-6124235-B1
CN-106936928-A,20170420,CN-105741091-A
CN-106790712-A,20170306,CN-105787784-A
CN-107396197-A,20170627,CN-106228436-A
CN-107516217-A,20170728,US-2016275483-A1
CN-107293049-A,20170705,CN-106127564-A
CN-106790004-A,20161212,US-2016321347-A1
US-10597270-B2,20181218,US-2016210602-A1
US-10387871-B2,20180511,US-9530137-B2
US-10121494-B1,20170330,US-2016307413-A1
EP-3608858-A1,20180810,WO-2017070469-A1
CN-107527209-A,20160621,CN-105550831-A
EP-3534323-A1,20190227,WO-2016151316-A1
EP-3534323-A1,20190227,US-2017103468-A1
US-2017185365-A1,20160310,US-2016210602-A1
US-10038607-B2,20160617,US-2016300201-A1
US-10189691-B2,20160923,US-2016210602-A1
KR-101969571-B1,20180208,KR-20170112933-A
CN-107749839-A,20170927,WO-2017090905-A1
US-9787941-B1,20170106,WO-2016144784-A1
US-D851830-S,20160623,US-2017011407-A1
WO-2018204541-A1,20180502,US-2017103468-A1
US-9971983-B2,20160712,US-2017091837-A1
US-9971983-B2,20160712,US-9928529-B2
WO-2019094086-A1,20180827,US-2017083899-A1
WO-2017186084-A1,20170424,CN-106204187-A
CN-106952141-A,20170315,CN-106097590-A
CN-107622585-A,20170224,CN-106097590-A
DE-202019000049-U1,20190104,KR-20180001842-A
CN-107239232-A,20170510,US-2016155069-A1
KR-20200006284-A,20180710,KR-20170099043-A
CN-107393062-A,20170616,CN-106740680-A
KR-20190030151-A,20180521,KR-20170026264-A
CN-107944285-A,20171130,CN-107016606-A
DE-102017102353-A1,20170207,DE-102016112911-A1
CN-108093307-A,20171229,WO-2017058278-A1
WO-2019102072-A1,20181123,US-2017091579-A1
WO-2019023521-A1,20180726,US-2017124547-A1
WO-2019207351-A1,20190319,US-2016217356-A1
WO-2019165894-A1,20190214,US-2018033066-A1
WO-2019147054-A1,20190125,US-2016155108-A1
WO-2019181083-A1,20181204,WO-2017134934-A1
WO-2018200234-A1,20180416,US-2016267572-A1
WO-2019128532-A1,20181119,CN-105741091-A
US-D836132-S,20180326,US-2016210602-A1
WO-2019052451-A1,20180912,CN-106228436-A
WO-2019222246-A1,20190514,US-2017124547-A1
WO-2019096192-A1,20181115,CN-106204197-A
US-9691047-B2,20160712,US-2017091837-A1
WO-2019144438-A1,20180206,CN-105761134-A
WO-2020013368-A1,20180717,KR-20170099043-A
WO-2019193257-A3,20190405,US-2017134169-A1
GB-2573670-A,20171227,US-2016328767-A1
EP-3499440-A1,20171218,US-2016132704-A1
WO-2019194679-A1,20190408,US-2016155069-A1
CN-108809947-A,20180518,US-2017046680-A1
CN-107508806-A,20170811,CN-106230851-A
CN-107711298-A,20171115,WO-2017105067-A1
CN-107392712-A,20170721,CN-106408238-A
CN-106503098-A,20161014,CN-105976231-A
EP-3438905-A1,20180801,WO-2017011345-A1
CN-106981008-A,20170303,CN-106296367-A
CN-107301589-A,20170622,CN-106204187-A
CN-106598579-A,20161206,CN-105976231-A
CN-108123945-B,20171220,CN-105741091-A
CN-107134053-B,20170419,CN-106096882-A
CN-107134053-B,20170419,CN-106447428-A
CN-108387230-A,20170524,WO-2017055119-A1
CN-108038985-A,20171226,WO-2017145511-A1
CN-107292622-A,20170705,CN-105976231-A
CN-107329888-A,20170531,CN-105976231-A
KR-20190056861-A,20171117,KR-20170088717-A
TW-I613549-B,20161219,TW-201631527-A
US-10353551-B2,20170630,US-2016210602-A1
US-10592907-B2,20160516,US-2016342966-A1
US-10599701-B2,20170210,US-2016155069-A1
US-10575250-B2,20171215,US-2017011105-A1
US-10572600-B2,20190712,US-9990351-B2
WO-2018094882-A1,20170223,CN-105701549-A
CN-106874393-A,20170113,CN-105976231-A
CN-108681778-A,20180416,CN-106204187-A
CN-106652232-A,20161228,CN-105809520-A
CN-107133437-B,20170303,CN-105868977-A
CN-108335407-A,20180224,CN-106297010-A
CN-107330686-A,20170525,CN-106204197-A
CN-107330686-A,20170525,CN-106372889-A
CN-106878760-B,20170329,CN-106228436-A
CN-107274556-A,20170605,CN-106297010-A
CN-107274556-A,20170605,US-2017103629-A1
JP-6427850-B1,20171228,JP-2016042395-A
CN-107895287-A,20171115,CN-106204197-A
CN-108492456-A,20180312,CN-106710071-A
CN-107025552-A,20170416,CN-106355464-A
US-10289356-B2,20170613,US-2016277631-A1
CN-106915395-A,20170327,CN-105809520-A
CN-106600403-A,20161107,CN-105976231-A
CN-108846752-A,20180606,CN-105976231-A
CN-109582885-A,20181031,WO-2018115567-A1
DE-102018201671-A1,20180205,DE-102016010140-A1
CN-106447466-A,20161101,CN-105913277-A
CN-106451438-B,20161116,CN-105552902-A
KR-102050217-B1,20180315,KR-101739112-B1
CN-107612816-A,20170922,US-2016232460-A1
CN-106845965-A,20170213,CN-106056439-A
CN-106845965-A,20170213,CN-106204197-A
CN-109272069-A,20180829,CN-106408238-A
CN-107230127-A,20170424,CN-106352884-A
CN-107451835-A,20160531,CN-105550831-A
EP-3291162-A1,20170818,US-2016132891-A1
FR-3074332-A1,20171128,DE-102016003074-A1
CN-108256353-A,20180111,CN-106230851-A
CN-106533696-A,20161118,CN-105976231-A
CN-107316027-A,20170627,CN-106127564-A
US-10278065-B2,20170811,US-2017171047-A1
US-10278065-B2,20170811,US-9819561-B2
CN-107358431-A,20170627,CN-106570692-A
JP-2018180835-A,20170411,WO-2017056444-A1
CN-108717670-A,20180328,CN-106296359-A
