publication_number,filing_date,citation_publication_number
US-2017296874-A1,20160929,US-2017200218-A1
US-10484384-B2,20160829,US-2017357972-A1
KR-102030781-B1,20181015,KR-20170095609-A
US-2017168764-A1,20161209,US-2016380852-A1
US-2016330380-A1,20160506,US-2016253843-A1
US-2017038859-A1,20160413,US-2017006101-A1
KR-102006329-B1,20190114,KR-20170070783-A
US-10546290-B2,20170828,US-2017352051-A1
US-10438029-B2,20180602,US-2016260073-A1
US-10135607-B1,20180810,US-2017103468-A1
US-10238156-B2,20160113,US-2017027248-A1
KR-101858613-B1,20170117,KR-20160101688-A
EP-3506455-A1,20181228,WO-2017086174-A1
EP-3506455-A1,20181228,EP-3379467-A1
KR-20190100788-A,20180221,KR-20160113532-A
US-10504028-B1,20190424,US-9600779-B2
US-10568016-B2,20180510,US-9530137-B2
US-10546462-B2,20170320,US-2016132891-A1
US-10567975-B2,20170331,US-9563890-B2
US-10567975-B2,20170331,US-9576285-B2
US-10567975-B2,20170331,US-9704151-B2
US-10567975-B2,20170331,US-9911258-B2
US-10540241-B2,20161019,US-2016210602-A1
KR-101998825-B1,20180828,KR-20170089618-A
US-2019250893-A1,20180209,US-2016155069-A1
US-10592867-B2,20161111,US-2016321347-A1
US-10287149-B2,20160304,US-2016210602-A1
US-10212389-B2,20171009,WO-2016144784-A1
KR-20190104737-A,20180302,KR-101807965-B1
KR-20200006265-A,20180710,KR-20170099043-A
US-10327107-B2,20170605,WO-2017043746-A1
US-2019080434-A1,20170908,US-2016313889-A1
US-2017026680-A1,20161005,US-2017180961-A1
US-2019022535-A1,20170719,US-2017036121-A1
US-10225313-B2,20170728,US-2016321347-A1
US-10372123-B2,20161230,US-9940840-B1
KR-101961144-B1,20171012,KR-20170101453-A
US-10579725-B2,20170315,US-2018060439-A1
US-10521776-B2,20181130,US-9563890-B2
US-10521776-B2,20181130,US-9704151-B2
US-10130232-B2,20160304,US-2016210602-A1
KR-20200006234-A,20180710,KR-20170099043-A
KR-20200006243-A,20180710,KR-20170099043-A
NL-2020729-B1,20180406,US-2016155069-A1
US-2018257582-A1,20171005,US-10233021-B1
US-2017178103-A1,20161209,US-9576285-B2
US-2018295334-A1,20180615,US-2016210345-A1
US-10410111-B2,20171025,US-2016155069-A1
US-10504541-B1,20190618,US-2018040046-A1
US-10507787-B2,20180726,US-2017124547-A1
US-10507787-B2,20180726,US-2018285852-A1
US-10147098-B2,20170117,US-2017103629-A1
US-10579829-B1,20190828,US-9912677-B2
US-10009177-B2,20160315,US-9530137-B2
US-10127400-B2,20160926,US-2016300201-A1
KR-20190053573-A,20171110,KR-101706889-B1
US-10120437-B2,20160129,US-2016210602-A1
US-10410314-B2,20170427,US-2018300714-A1
US-10162479-B2,20160208,US-2017262136-A1
US-10182369-B2,20160629,US-2016380852-A1
US-10279212-B2,20170329,US-9819561-B2
WO-2019140018-A1,20190109,WO-2017142536-A1
US-10542423-B1,20161222,US-2017099378-A1
US-10257270-B2,20160426,US-2017103468-A1
KR-20200006308-A,20180710,KR-20170099043-A
RU-2694027-C1,20180606,US-2017091579-A1
US-2019104034-A1,20170929,US-2017315712-A1
US-10135989-B1,20161027,US-2017068551-A1
US-10257085-B2,20160711,US-2017091837-A1
US-10257085-B2,20160711,US-9928529-B2
US-10264100-B2,20160527,US-2016328692-A1
US-2017286634-A1,20170207,US-2016371459-A1
US-10482460-B2,20160908,US-2016189137-A1
US-10475030-B2,20160222,US-2017046680-A1
RU-182707-U1,20171229,KR-101675820-B1
US-10540697-B2,20170623,US-2016267403-A1
US-10417640-B2,20160223,US-2016210602-A1
US-10242302-B2,20180403,US-2016275390-A1
US-10242302-B2,20180403,US-2016292554-A1
US-10242302-B2,20180403,US-9626610-B2
US-10313480-B2,20170622,US-2017083966-A1
US-10019988-B1,20160623,US-2017068551-A1
US-10262289-B2,20160315,US-2016292798-A1
US-10269018-B2,20180801,US-9530137-B2
US-2018121907-A1,20161027,US-2016239818-A1
US-2018343364-A1,20180525,US-2018174110-A1
US-2018150903-A1,20161130,US-2016163000-A1
US-2017169231-A1,20170228,US-2016155069-A1
US-2019077368-A1,20171205,US-9845071-B1
US-2019228855-A1,20190125,US-2018308143-A1
US-10552430-B2,20170117,WO-2016144784-A1
US-10244793-B2,20160526,US-2017011407-A1
US-2018343230-A1,20170526,US-2018063078-A1
US-9757002-B2,20160304,US-2016210602-A1
US-D875780-S,20190708,US-2016210602-A1
KR-102000559-B1,20190312,KR-20170110826-A
US-10336592-B2,20160923,US-2016210602-A1
KR-20190011420-A,20170725,KR-101729678-B1
US-10401954-B2,20170417,US-2017323158-A1
US-10601833-B2,20171204,US-2016285954-A1
US-10601833-B2,20171204,US-2017187758-A1
US-10554410-B2,20160211,US-2017076272-A1
KR-101778768-B1,20170421,US-2017103468-A1
US-10292049-B2,20180404,US-2016217356-A1
US-10423964-B2,20180213,US-9530137-B2
US-10469350-B2,20160427,US-2016380852-A1
US-10176398-B2,20180108,US-2016210602-A1
US-2017060724-A1,20161111,US-2016248795-A1
US-2018313797-A1,20170427,US-2017103468-A1
KR-20190137635-A,20180602,KR-20170095488-A
KR-20190141396-A,20180614,KR-20170112332-A
KR-101955707-B1,20170926,KR-101756395-B1
CN-107792002-A,20171020,CN-106740680-A
