publication_number,filing_date,cpc_code
US-2017180696-A1,20160331,G06Q30/06
US-2016155185-A1,20160113,G06Q30/06
US-2016155185-A1,20160113,G06Q30/06
US-2016155185-A1,20160113,G06Q30/06
US-2017053331-A1,20160310,G06Q30/06
US-2016321347-A1,20160428,G06Q30/06
US-2017213305-A1,20160121,G06Q30/06
US-2018315017-A1,20161101,G06Q30/06
US-10467683-B2,20161205,G06Q30/06
US-10467683-B2,20161205,G06Q30/06
US-10467683-B2,20161205,G06Q30/06
KR-102027265-B1,20160902,G06Q30/06
KR-20180015979-A,20160804,G06Q30/06
SG-11201709332U-A,20160422,G06Q30/06
SG-11201804159X-A,20160930,G06Q30/06
KR-101866514-B1,20160811,G06Q30/06
JP-WO2017056791-A1,20160824,G06Q30/06
KR-20170103442-A,20160304,G06Q30/06
KR-20180009444-A,20160718,G06Q30/06
US-2018063078-A1,20160830,G06Q30/06
US-2018063078-A1,20160830,G06Q30/06
US-2018063078-A1,20160830,G06Q30/06
US-2016210620-A1,20160325,G06Q30/06
US-2016321278-A1,20160427,G06Q30/06
US-2017177725-A1,20161214,G06Q30/06
US-2017177725-A1,20161214,G06Q30/06
KR-101677871-B1,20160318,G06Q30/06
US-2016358176-A1,20160819,G06Q30/06
US-2017344975-A1,20160531,G06Q30/06
KR-20160113068-A,20160804,G06Q30/06
KR-20170104052-A,20160303,G06Q30/06
KR-20180100159-A,20161228,G06Q30/06
US-10497051-B2,20160113,G06Q30/06
US-10497051-B2,20160113,G06Q30/06
US-10497051-B2,20160113,G06Q30/06
US-10497051-B2,20160113,G06Q30/06
JP-2018022457-A,20160824,G06Q30/06
JP-2018022457-A,20160824,G06Q30/06
JP-2019502977-A,20161027,G06Q30/06
EP-3398151-A1,20161219,G06Q30/06
SG-11201810966X-A,20161122,G06Q30/06
KR-20180004224-A,20160819,G06Q30/06
KR-20170121958-A,20160426,G06Q30/06
TW-201702952-A,20160331,G06Q30/06
KR-101977191-B1,20161121,G06Q30/06
KR-101977191-B1,20161121,G06Q30/06
US-10050899-B2,20160606,G06Q30/06
US-10050899-B2,20160606,G06Q30/06
US-10050899-B2,20160606,G06Q30/06
US-2016364805-A1,20160824,G06Q30/06
KR-20170121035-A,20161125,G06Q30/06
KR-101765184-B1,20160226,G06Q30/06
PL-3289548-T3,20160422,G06Q30/06
US-2016269470-A1,20160311,G06Q30/06
KR-20170096283-A,20160215,G06Q30/06
KR-20170138879-A,20160608,G06Q30/06
KR-20170138879-A,20160608,G06Q30/06
US-10482460-B2,20160908,G06Q30/06
US-10482460-B2,20160908,G06Q30/06
US-10482460-B2,20160908,G06Q30/06
US-2017053339-A1,20160829,G06Q30/06
US-2017053339-A1,20160829,G06Q30/06
KR-20170085281-A,20160114,G06Q30/06
JP-WO2018020658-A1,20160729,G06Q30/06
KR-20170104792-A,20160308,G06Q30/06
KR-101773772-B1,20160317,G06Q30/06
KR-101773772-B1,20160317,G06Q30/06
US-2018174110-A1,20161219,G06Q30/06
US-2018174110-A1,20161219,G06Q30/06
US-2018174110-A1,20161219,G06Q30/06
US-2016196549-A1,20160316,G06Q30/06
WO-2017131269-A1,20160201,G06Q30/06
WO-2017016265-A1,20160506,G06Q30/06
US-2018330394-A1,20161111,G06Q30/06
EP-3435317-A1,20160912,G06Q30/06
GB-201619481-D0,20161117,G06Q30/06
RU-2018114496-A,20160427,G06Q30/06
US-2018308143-A1,20161028,G06Q30/06
KR-20170118440-A,20160415,G06Q30/06
KR-101893495-B1,20161028,G06Q30/06
KR-101913750-B1,20160810,G06Q30/06
KR-101913750-B1,20160810,G06Q30/06
KR-20170086374-A,20160118,G06Q30/06
KR-101669882-B1,20160114,G06Q30/06
US-2016275576-A1,20160527,G06Q30/06
US-2016275576-A1,20160527,G06Q30/06
US-2016275576-A1,20160527,G06Q30/06
WO-2018020658-A1,20160729,G06Q30/06
WO-2017097111-A1,20161124,G06Q30/06
WO-2017097111-A1,20161124,G06Q30/06
US-9886566-B2,20160620,G06Q30/06
US-9886566-B2,20160620,G06Q30/06
WO-2018066102-A1,20161006,G06Q30/06
CN-108027928-A,20160906,G06Q30/06
CN-106447432-A,20160913,G06Q30/06
CN-106710071-A,20161219,G06Q30/06
US-2016253768-A1,20160511,G06Q30/06
US-2016253768-A1,20160511,G06Q30/06
US-2017169519-A1,20161227,G06Q30/06
US-2018285852-A1,20160915,G06Q30/06
KR-101618836-B1,20160308,G06Q30/06
US-2018181873-A1,20161228,G06Q30/06
US-2016205216-A1,20160322,G06Q30/06
US-2017026396-A1,20160708,G06Q30/06
US-2017069024-A1,20160912,G06Q30/06
US-2016225109-A1,20160408,G06Q30/06
US-2016226943-A1,20160208,G06Q30/06
US-2016148151-A1,20160202,G06Q30/06
US-10296886-B2,20160606,G06Q30/06
US-10296886-B2,20160606,G06Q30/06
US-10296886-B2,20160606,G06Q30/06
KR-20170098665-A,20160222,G06Q30/06
CN-106515824-A,20161027,G06Q30/06
EP-3267387-A1,20160302,G06Q30/06
KR-20160128974-A,20161028,G06Q30/06
KR-20170110343-A,20160323,G06Q30/06
US-2017116591-A1,20161222,G06Q30/06
US-2018293593-A1,20160919,G06Q30/06
US-2018293593-A1,20160919,G06Q30/06
US-2018293593-A1,20160919,G06Q30/06
KR-20180065253-A,20161207,G06Q30/06
US-2017103539-A1,20161222,G06Q30/06
US-2017103539-A1,20161222,G06Q30/06
KR-20180044149-A,20161021,G06Q30/06
US-2016321731-A1,20160714,G06Q30/06
US-2016180290-A1,20160226,G06Q30/06
US-2016253656-A1,20160513,G06Q30/06
US-2018144393-A1,20160204,G06Q30/06
US-2017004703-A1,20160629,G06Q30/06
US-2016267534-A1,20160519,G06Q30/06
KR-101751944-B1,20160926,G06Q30/06
KR-101751944-B1,20160926,G06Q30/06
US-2018052922-A1,20160302,G06Q30/06
US-2016162902-A1,20160209,G06Q30/06
US-2016162902-A1,20160209,G06Q30/06
US-2016267572-A1,20160525,G06Q30/06
US-2019005281-A1,20161227,G06Q30/06
US-2019005281-A1,20161227,G06Q30/06
US-2019005281-A1,20161227,G06Q30/06
US-2017098231-A1,20160809,G06Q30/06
US-2016210368-A1,20160325,G06Q30/06
US-2017099378-A1,20160711,G06Q30/06
MX-2018004693-A,20160930,G06Q30/06
US-2017169292-A1,20161220,G06Q30/06
US-2017154369-A1,20161121,G06Q30/06
US-2017116572-A1,20161019,G06Q30/06
US-2017076284-A1,20160908,G06Q30/06
US-2017076284-A1,20160908,G06Q30/06
KR-20180099699-A,20161118,G06Q30/06
NL-2016417-B1,20160311,G06Q30/06
US-2016171563-A1,20160203,G06Q30/06
US-2016171563-A1,20160203,G06Q30/06
US-2016350804-A1,20160808,G06Q30/06
KR-20160023754-A,20160215,G06Q30/06
US-10332084-B2,20160303,G06Q30/06
US-10332084-B2,20160303,G06Q30/06
US-10332084-B2,20160303,G06Q30/06
US-2018158160-A1,20160517,G06Q30/06
KR-101807658-B1,20161108,G06Q30/06
KR-101848150-B1,20160727,G06Q30/06
KR-20170103434-A,20160304,G06Q30/06
CN-108022139-A,20161031,G06Q30/06
US-2016117623-A1,20160106,G06Q30/06
US-2016371576-A1,20160615,G06Q30/06
US-2016371576-A1,20160615,G06Q30/06
US-2017132631-A1,20160809,G06Q30/06
US-2016234193-A1,20160208,G06Q30/06
US-2016203453-A1,20160108,G06Q30/06
US-2016203453-A1,20160108,G06Q30/06
US-10192209-B2,20160915,G06Q30/06
US-10192209-B2,20160915,G06Q30/06
US-10192209-B2,20160915,G06Q30/06
US-2016247244-A1,20160504,G06Q30/06
US-2016350805-A1,20160809,G06Q30/06
SG-10201607027U-A,20160823,G06Q30/06
US-2017103405-A1,20161219,G06Q30/06
SG-10201609649R-A,20161117,G06Q30/06
US-2017003666-A1,20160621,G06Q30/06
US-2017039563-A1,20161018,G06Q30/06
US-2016328767-A1,20160502,G06Q30/06
US-2016328767-A1,20160502,G06Q30/06
US-2016155069-A1,20160203,G06Q30/06
US-2017171047-A1,20161014,G06Q30/06
US-2016132844-A1,20160119,G06Q30/06
TW-I609344-B,20160107,G06Q30/06
US-10332167-B2,20160317,G06Q30/06
US-10332167-B2,20160317,G06Q30/06
US-10332167-B2,20160317,G06Q30/06
KR-20180012100-A,20160726,G06Q30/06
KR-20180090848-A,20161124,G06Q30/06
US-2016335726-A1,20160512,G06Q30/06
US-2018349974-A1,20161115,G06Q30/06
WO-2017107829-A1,20161214,G06Q30/06
US-2016125190-A1,20160108,G06Q30/06
US-2016125190-A1,20160108,G06Q30/06
US-2016162997-A1,20160211,G06Q30/06
US-2017083918-A1,20160923,G06Q30/06
US-9845071-B1,20160606,G06Q30/06
US-9845071-B1,20160606,G06Q30/06
CN-105550831-A,20160215,G06Q30/06
CA-2978490-A1,20160302,G06Q30/06
BR-112018007449-A2,20160930,G06Q30/06
US-2016154827-A1,20160205,G06Q30/06
JP-WO2017203631-A1,20160525,G06Q30/06
KR-101678521-B1,20160607,G06Q30/06
KR-20170088526-A,20160125,G06Q30/06
JP-WO2017145511-A1,20161221,G06Q30/06
JP-WO2017145511-A1,20161221,G06Q30/06
KR-20170105976-A,20160311,G06Q30/06
US-2018075160-A1,20160916,G06Q30/06
KR-101762272-B1,20160802,G06Q30/06
KR-101762272-B1,20160802,G06Q30/06
US-2016253723-A1,20160511,G06Q30/06
US-10068134-B2,20160503,G06Q30/06
JP-WO2018061136-A1,20160929,G06Q30/06
KR-20180009025-A,20160715,G06Q30/06
KR-101809555-B1,20160603,G06Q30/06
KR-101809555-B1,20160603,G06Q30/06
US-10242361-B2,20160923,G06Q30/06
US-10242361-B2,20160923,G06Q30/06
US-10580096-B2,20160511,G06Q30/06
US-10580096-B2,20160511,G06Q30/06
US-10580096-B2,20160511,G06Q30/06
JP-WO2017119094-A1,20160107,G06Q30/06
RU-173584-U1,20161221,G06Q30/06
EP-3062280-A1,20160212,G06Q30/06
CN-108701320-A,20161221,G06Q30/06
CN-106128152-B,20160708,G06Q30/06
KR-20180132179-A,20161110,G06Q30/06
RU-2709650-C2,20160422,G06Q30/06
US-2016328727-A1,20160504,G06Q30/06
US-2016328727-A1,20160504,G06Q30/06
